Time[s], Í¨µÀ 0
-0.024994950, 0
0.000000000, 1
0.000036765, 0
0.000069790, 1
0.000106560, 0
0.000139590, 1
0.000176360, 0
0.000209390, 1
0.000246160, 0
0.000279190, 1
0.000315955, 0
0.000348985, 1
0.000385750, 0
0.000418780, 1
0.000455545, 0
0.000488575, 1
0.000525345, 0
0.000558370, 1
0.000595140, 0
0.000628170, 1
0.000664940, 0
0.000697970, 1
0.000734740, 0
0.000767770, 1
0.000804540, 0
0.000837565, 1
0.000874335, 0
0.000907365, 1
0.000950240, 0
0.000983270, 1
0.001020040, 0
0.001053075, 1
0.001089840, 0
0.001122870, 1
0.001159635, 0
0.001192665, 1
0.001229435, 0
0.001262460, 1
0.001299230, 0
0.001332255, 1
0.001369020, 0
0.001402045, 1
0.001438815, 0
0.001471850, 1
0.001508615, 0
0.001541645, 1
0.001578410, 0
0.001611440, 1
0.001648205, 0
0.001680980, 1
0.001714005, 0
0.001746285, 1
0.001779305, 0
0.001812455, 1
0.001844980, 0
0.219363235, 1
0.219400010, 0
0.219433045, 1
0.219469820, 0
0.219502855, 1
0.219539625, 0
0.219572660, 1
0.219609435, 0
0.219642470, 1
0.219679245, 0
0.219712280, 1
0.219749050, 0
0.219782090, 1
0.219818865, 0
0.219851895, 1
0.219888665, 0
0.219921700, 1
0.219958475, 0
0.219991505, 1
0.220028270, 0
0.220061300, 1
0.220098070, 0
0.220131100, 1
0.220167870, 0
0.220200905, 1
0.220237675, 0
0.220270710, 1
0.220313585, 0
0.220346615, 1
0.220383385, 0
0.220416415, 1
0.220453185, 0
0.220486215, 1
0.220522985, 0
0.220556015, 1
0.220592790, 0
0.220625820, 1
0.220662595, 0
0.220695625, 1
0.220732390, 0
0.220765420, 1
0.220802190, 0
0.220835220, 1
0.220871985, 0
0.220905015, 1
0.220941790, 0
0.220974815, 1
0.221011585, 0
0.221044365, 1
0.221077395, 0
0.221109675, 1
0.221142705, 0
0.221175860, 1
0.221208390, 0
0.438728940, 1
0.438765705, 0
0.438798735, 1
0.438835500, 0
0.438868530, 1
0.438905300, 0
0.438938325, 1
0.438975090, 0
0.439008115, 1
0.439044885, 0
0.439077910, 1
0.439114675, 0
0.439147700, 1
0.439184465, 0
0.439217485, 1
0.439254255, 0
0.439287285, 1
0.439324050, 0
0.439357080, 1
0.439393845, 0
0.439426875, 1
0.439463640, 0
0.439496665, 1
0.439533430, 0
0.439566460, 1
0.439603230, 0
0.439636260, 1
0.439679135, 0
0.439712165, 1
0.439748930, 0
0.439781960, 1
0.439818730, 0
0.439851760, 1
0.439888525, 0
0.439921550, 1
0.439958315, 0
0.439991340, 1
0.440028110, 0
0.440061140, 1
0.440097910, 0
0.440130935, 1
0.440167695, 0
0.440200725, 1
0.440237490, 0
0.440270520, 1
0.440307285, 0
0.440340310, 1
0.440377075, 0
0.440409850, 1
0.440442875, 0
0.440475155, 1
0.440508175, 0
0.440541330, 1
0.440573855, 0
